elvis-presley|Elvis Presley|1935-01-08|1977-08-16|USA|music|man|Transformed popular music and became one of the defining performers of the 20th century.|Elvis_Presley|iconic
john-lennon|John Lennon|1940-10-09|1980-12-08|UK|music|man|Co-founded the Beatles and became a major songwriter, performer and peace campaigner.|John_Lennon|iconic
whitney-houston|Whitney Houston|1963-08-09|2012-02-11|USA|music|woman|Became one of popular music’s most celebrated singers through her extraordinary voice and global hits.|Whitney_Houston|iconic
notorious-big|The Notorious B.I.G.|1972-05-21|1997-03-09|USA|music|man|Helped redefine East Coast hip-hop through vivid storytelling and a remarkably compact catalogue.|The_Notorious_B.I.G.|iconic
buddy-holly|Buddy Holly|1936-09-07|1959-02-03|USA|music|man|Pioneered the sound and songwriting approach that helped shape modern rock music.|Buddy_Holly|iconic
robert-johnson|Robert Johnson|1911-05-08|1938-08-16|USA|music|man|His recordings became foundational to the blues and profoundly influenced later rock guitarists.|Robert_Johnson|iconic
jim-croce|Jim Croce|1943-01-10|1973-09-20|USA|music|man|Wrote conversational folk-pop songs that became enduring parts of the American songbook.|Jim_Croce|well-known
dimebag-darrell|Dimebag Darrell|1966-08-20|2004-12-08|USA|music|man|Defined a generation of heavy-metal guitar through Pantera and Damageplan.|Dimebag_Darrell|well-known
layne-staley|Layne Staley|1967-08-22|2002-04-05|USA|music|man|Became one of grunge’s defining singers through his work with Alice in Chains.|Layne_Staley|well-known
dolores-oriordan|Dolores O’Riordan|1971-09-06|2018-01-15|Ireland|music|woman|Led the Cranberries with a distinctive voice that helped bring alternative rock to a global audience.|Dolores_O'Riordan|well-known
sophie-musician|SOPHIE|1986-09-17|2021-01-30|UK|music|woman|Pushed electronic pop toward radically synthetic textures and influenced a new generation of producers.|Sophie_(musician)|well-known
mf-doom|MF DOOM|1971-07-13|2020-10-31|UK / USA|music|man|Developed an eccentric, densely worded style that made him one of underground hip-hop’s central figures.|MF_Doom|well-known
juice-wrld|Juice Wrld|1998-12-02|2019-12-08|USA|music|man|Helped popularize an emotionally direct blend of hip-hop, emo and melodic songwriting.|Juice_Wrld|well-known
xxxtentacion|XXXTentacion|1998-01-23|2018-06-18|USA|music|man|Became a major streaming-era artist by blending rap with emo, rock and experimental production.|XXXTentacion|well-known
eazy-e|Eazy-E|1964-09-07|1995-03-26|USA|music|man|Co-founded N.W.A. and helped bring gangsta rap into the American mainstream.|Eazy-E|iconic
big-pun|Big Pun|1971-11-10|2000-02-07|USA|music|man|Became the first solo Latino rapper to achieve a platinum album in the United States.|Big_Pun|well-known
chester-bennington|Chester Bennington|1976-03-20|2017-07-20|USA|music|man|Fronted Linkin Park and became one of the most recognizable voices in alternative rock.|Chester_Bennington|well-known
scott-weiland|Scott Weiland|1967-10-27|2015-12-03|USA|music|man|Led Stone Temple Pilots and Velvet Revolver through a career spanning grunge and hard rock.|Scott_Weiland|well-known
ronnie-van-zant|Ronnie Van Zant|1948-01-15|1977-10-20|USA|music|man|Founded Lynyrd Skynyrd and helped define the sound of Southern rock.|Ronnie_Van_Zant|well-known
bobby-darin|Bobby Darin|1936-05-14|1973-12-20|USA|music|man|Moved from pop and rock to jazz and folk while becoming one of America’s most versatile entertainers.|Bobby_Darin|well-known
paul-walker|Paul Walker|1973-09-12|2013-11-30|USA|film|man|Became a global film star through the Fast & Furious franchise and supported ocean conservation.|Paul_Walker|iconic
philip-seymour-hoffman|Philip Seymour Hoffman|1967-07-23|2014-02-02|USA|film|man|Built one of his generation’s most acclaimed acting careers across independent and mainstream cinema.|Philip_Seymour_Hoffman|iconic
chris-farley|Chris Farley|1964-02-15|1997-12-18|USA|film|man|Became one of Saturday Night Live’s most memorable comic performers before leading major studio comedies.|Chris_Farley|iconic
john-candy|John Candy|1950-10-31|1994-03-04|Canada|film|man|Became a beloved comic actor through films including Planes, Trains and Automobiles and Uncle Buck.|John_Candy|iconic
john-belushi|John Belushi|1949-01-24|1982-03-05|USA|film|man|Helped establish Saturday Night Live and starred in influential comedies such as Animal House.|John_Belushi|iconic
gilda-radner|Gilda Radner|1946-06-28|1989-05-20|USA|film|woman|Was one of Saturday Night Live’s original stars and created several enduring comic characters.|Gilda_Radner|iconic
jean-harlow|Jean Harlow|1911-03-03|1937-06-07|USA|film|woman|Became one of Hollywood’s first major blonde screen icons during the early sound era.|Jean_Harlow|iconic
montgomery-clift|Montgomery Clift|1920-10-17|1966-07-23|USA|film|man|Helped introduce a more psychologically natural style of acting to postwar American cinema.|Montgomery_Clift|well-known
rainer-werner-fassbinder|Rainer Werner Fassbinder|1945-05-31|1982-06-10|Germany|film|man|Directed an extraordinary body of films that made him a central figure of the New German Cinema.|Rainer_Werner_Fassbinder|well-known
guru-dutt|Guru Dutt|1925-07-09|1964-10-10|India|film|man|Directed and starred in influential Hindi films celebrated for their visual style and emotional depth.|Guru_Dutt|well-known
smita-patil|Smita Patil|1955-10-17|1986-12-13|India|film|woman|Became one of Indian cinema’s most respected actors through parallel and mainstream films.|Smita_Patil|well-known
divya-bharti|Divya Bharti|1974-02-25|1993-04-05|India|film|woman|Rose rapidly to stardom in Hindi and Telugu cinema during a brief but highly visible career.|Divya_Bharti|well-known
sushant-singh-rajput|Sushant Singh Rajput|1986-01-21|2020-06-14|India|film|man|Moved from television to acclaimed Hindi film roles and became a major popular-culture figure.|Sushant_Singh_Rajput|well-known
anna-nicole-smith|Anna Nicole Smith|1967-11-28|2007-02-08|USA|film|woman|Became a highly visible model, actor and tabloid-era celebrity.|Anna_Nicole_Smith|well-known
vincent-van-gogh|Vincent van Gogh|1853-03-30|1890-07-29|Netherlands|art|man|Created intensely expressive paintings that became central to the history of modern art.|Vincent_van_Gogh|iconic
frida-kahlo|Frida Kahlo|1907-07-06|1954-07-13|Mexico|art|woman|Developed a distinctive autobiographical painting practice centered on identity, pain and Mexican culture.|Frida_Kahlo|iconic
robert-capa|Robert Capa|1913-10-22|1954-05-25|Hungary / USA|art|man|Established modern war photography through images from major 20th-century conflicts.|Robert_Capa|iconic
robert-mapplethorpe|Robert Mapplethorpe|1946-11-04|1989-03-09|USA|art|man|Expanded the possibilities of studio photography through formal precision and challenging subject matter.|Robert_Mapplethorpe|well-known
eva-hesse|Eva Hesse|1936-01-11|1970-05-29|Germany / USA|art|woman|Pioneered an influential form of postminimalist sculpture using fragile industrial materials.|Eva_Hesse|well-known
edgar-allan-poe|Edgar Allan Poe|1809-01-19|1849-10-07|USA|literature|man|Shaped detective fiction, psychological horror and the modern short story through poems and prose.|Edgar_Allan_Poe|iconic
