anne-bronte|Anne Brontë|1820-01-17|1849-05-28|UK|literature|woman|Wrote two novels, including The Tenant of Wildfell Hall, now recognized as a major Victorian work.|Anne_Brontë
percy-shelley|Percy Bysshe Shelley|1792-08-04|1822-07-08|UK|literature|man|Produced major Romantic poetry and political writing before turning 30.|Percy_Bysshe_Shelley
hank-williams|Hank Williams|1923-09-17|1953-01-01|USA|music|man|Set a template for modern country songwriting through a remarkably compact catalogue.|Hank_Williams
marc-bolan|Marc Bolan|1947-09-30|1977-09-16|UK|music|man|Led T. Rex and became one of glam rock's defining songwriters and performers.|Marc_Bolan
jean-vigo|Jean Vigo|1905-04-26|1934-10-05|France|film|man|Made only four films, including L'Atalante, yet became a lasting influence on world cinema.|Jean_Vigo
sylvia-plath|Sylvia Plath|1932-10-27|1963-02-11|USA|literature|woman|Produced poetry and prose that profoundly shaped confessional literature.|Sylvia_Plath
emily-bronte|Emily Brontë|1818-07-30|1848-12-19|UK|literature|woman|Wrote Wuthering Heights and a distinctive body of poetry before turning 31.|Emily_Brontë
steve-biko|Steve Biko|1946-12-18|1977-09-12|South Africa|activism|man|Founded the Black Consciousness Movement and became a central anti-apartheid thinker and organizer.|Steve_Biko
jeff-buckley|Jeff Buckley|1966-11-17|1997-05-29|USA|music|man|Released only one completed studio album, Grace, which became a major influence on later singers.|Jeff_Buckley
patsy-cline|Patsy Cline|1932-09-08|1963-03-05|USA|music|woman|Became one of country music's most influential vocalists through a brief recording career.|Patsy_Cline
paula-modersohn-becker|Paula Modersohn-Becker|1876-02-08|1907-11-20|Germany|art|woman|Pioneered a radically direct modern style of portraiture and self-portraiture.|Paula_Modersohn-Becker
franz-schubert|Franz Schubert|1797-01-31|1828-11-19|Austria|music|man|Composed more than 600 songs alongside symphonies, chamber music and piano works.|Franz_Schubert
georges-seurat|Georges Seurat|1859-12-02|1891-03-29|France|art|man|Developed pointillism and created A Sunday Afternoon on the Island of La Grande Jatte.|Georges_Seurat
keith-haring|Keith Haring|1958-05-04|1990-02-16|USA|art|man|Turned an energetic graphic language into one of the most recognizable visual styles of the 1980s.|Keith_Haring
minnie-riperton|Minnie Riperton|1947-11-08|1979-07-12|USA|music|woman|Combined extraordinary vocal range with adventurous soul songwriting and arrangement.|Minnie_Riperton
srinivasa-ramanujan|Srinivasa Ramanujan|1887-12-22|1920-04-26|India|mathematics|man|Made extraordinary contributions to number theory, infinite series and mathematical analysis.|Srinivasa_Ramanujan
bruce-lee|Bruce Lee|1940-11-27|1973-07-20|Hong Kong / USA|film|man|Transformed the global image of martial arts through film, teaching and philosophy.|Bruce_Lee
karen-carpenter|Karen Carpenter|1950-03-02|1983-02-04|USA|music|woman|Became one of pop's most distinctive vocalists and an accomplished drummer with the Carpenters.|Karen_Carpenter
brittany-murphy|Brittany Murphy|1977-11-10|2009-12-20|USA|film|woman|Built a wide-ranging film and voice-acting career from comedy to drama.|Brittany_Murphy
eva-peron|Eva Perón|1919-05-07|1952-07-26|Argentina|politics|woman|Became a powerful political figure and advocate for labor and women's suffrage in Argentina.|Eva_Perón
sam-cooke|Sam Cooke|1931-01-22|1964-12-11|USA|music|man|Helped invent modern soul music while becoming one of its first major Black business figures.|Sam_Cooke
katherine-mansfield|Katherine Mansfield|1888-10-14|1923-01-09|New Zealand|literature|woman|Helped transform the modern short story through compressed, psychologically precise fiction.|Katherine_Mansfield
charlie-parker|Charlie Parker|1920-08-29|1955-03-12|USA|music|man|Revolutionized jazz improvisation and helped create bebop.|Charlie_Parker
yves-klein|Yves Klein|1928-04-28|1962-06-06|France|art|man|Made color, immateriality and performance central subjects of postwar European art.|Yves_Klein
bessie-coleman|Bessie Coleman|1892-01-26|1926-04-30|USA|exploration|woman|Became the first Black woman and first self-identified Native American woman to hold a pilot license.|Bessie_Coleman
lorraine-hansberry|Lorraine Hansberry|1930-05-19|1965-01-12|USA|literature|woman|Became the first Black woman to have a play performed on Broadway with A Raisin in the Sun.|Lorraine_Hansberry
simone-weil|Simone Weil|1909-02-03|1943-08-24|France|literature|woman|Produced an influential body of philosophical and political writing on power, labor and attention.|Simone_Weil
yuri-gagarin|Yuri Gagarin|1934-03-09|1968-03-27|USSR|exploration|man|Became the first human to travel into outer space.|Yuri_Gagarin
mozart|Wolfgang Amadeus Mozart|1756-01-27|1791-12-05|Austria|music|man|Created an immense body of operas, concertos, symphonies and chamber music before 36.|Wolfgang_Amadeus_Mozart
amedeo-modigliani|Amedeo Modigliani|1884-07-12|1920-01-24|Italy / France|art|man|Developed an unmistakable style of elongated portraits and nudes within early modernism.|Amedeo_Modigliani
gordon-matta-clark|Gordon Matta-Clark|1943-06-22|1978-08-27|USA|art|man|Changed ideas about architecture and sculpture through radical cuts into existing buildings.|Gordon_Matta-Clark
patrice-lumumba|Patrice Lumumba|1925-07-02|1961-01-17|DR Congo|politics|man|Became the first prime minister of independent Congo and a lasting symbol of African decolonization.|Patrice_Lumumba
bob-marley|Bob Marley|1945-02-06|1981-05-11|Jamaica|music|man|Brought reggae to a worldwide audience while linking popular music with Rastafari and politics.|Bob_Marley
franz-marc|Franz Marc|1880-02-08|1916-03-04|Germany|art|man|Co-founded Der Blaue Reiter and became a central figure in German Expressionism.|Franz_Marc
ada-lovelace|Ada Lovelace|1815-12-10|1852-11-27|UK|mathematics|woman|Described how Babbage's Analytical Engine could manipulate symbols, not just numbers.|Ada_Lovelace
