samantha-smith|Samantha Smith|1972-06-29|1985-08-25|USA|activism|woman|A schoolgirl whose letter to Soviet leader Yuri Andropov made her an international young peace advocate.|Samantha_Smith
emmett-till|Emmett Till|1941-07-25|1955-08-28|USA|activism|man|His murder became a catalyst for the American civil-rights movement.|Emmett_Till
ritchie-valens|Ritchie Valens|1941-05-13|1959-02-03|USA|music|man|Helped bring Chicano rock into the American mainstream with a brief, influential recording career.|Ritchie_Valens
thomas-chatterton|Thomas Chatterton|1752-11-20|1770-08-24|UK|literature|man|Created an extraordinary body of poetry and literary forgeries while still a teenager.|Thomas_Chatterton
evariste-galois|Évariste Galois|1811-10-25|1832-05-31|France|mathematics|man|Developed ideas that became foundational to modern group theory and abstract algebra.|Évariste_Galois
eddie-cochran|Eddie Cochran|1938-10-03|1960-04-17|USA|music|man|Helped define the sound and attitude of early rock and roll.|Eddie_Cochran
sophie-scholl|Sophie Scholl|1921-05-09|1943-02-22|Germany|activism|woman|Helped lead the White Rose student resistance against the Nazi regime.|Sophie_Scholl
fred-hampton|Fred Hampton|1948-08-30|1969-12-04|USA|activism|man|Built a multiracial coalition in Chicago and became a prominent Black Panther organizer.|Fred_Hampton
aaliyah|Aaliyah|1979-01-16|2001-08-25|USA|music|woman|Helped reshape contemporary R&B through a distinctive vocal and production style.|Aaliyah
francesca-woodman|Francesca Woodman|1958-04-03|1981-01-19|USA|art|woman|Created haunting, formally inventive self-portraits that became highly influential in photography.|Francesca_Woodman
andrew-irvine|Andrew Irvine|1902-04-08|1924-06-08|UK|exploration|man|Joined George Mallory in one of mountaineering's most enduring Everest mysteries.|Andrew_Irvine_(mountaineer)
georg-buchner|Georg Büchner|1813-10-17|1837-02-19|Germany|literature|man|Wrote radical plays and prose that later became central to modern European literature.|Georg_Büchner
selena-quintanilla|Selena Quintanilla|1971-04-16|1995-03-31|USA|music|woman|Brought Tejano music to a far wider audience and became a major Latin pop icon.|Selena
river-phoenix|River Phoenix|1970-08-23|1993-10-31|USA|film|man|Became one of the most acclaimed actors of his generation before turning 24.|River_Phoenix
duane-allman|Duane Allman|1946-11-20|1971-10-29|USA|music|man|Redefined slide guitar in rock and co-founded the Allman Brothers Band.|Duane_Allman
tammi-terrell|Tammi Terrell|1945-04-29|1970-03-16|USA|music|woman|Recorded a celebrated run of Motown duets with Marvin Gaye.|Tammi_Terrell
james-dean|James Dean|1931-02-08|1955-09-30|USA|film|man|Became an enduring screen icon through only three major film roles.|James_Dean
lili-boulanger|Lili Boulanger|1893-08-21|1918-03-15|France|music|woman|Became the first woman to win the Prix de Rome for musical composition.|Lili_Boulanger
wilfred-owen|Wilfred Owen|1893-03-18|1918-11-04|UK|literature|man|Wrote some of the most enduring poetry of the First World War.|Wilfred_Owen
clifford-brown|Clifford Brown|1930-10-30|1956-06-26|USA|music|man|Became one of jazz's most influential trumpeters in a career lasting only a few years.|Clifford_Brown
john-keats|John Keats|1795-10-31|1821-02-23|UK|literature|man|Produced some of the defining poems of English Romanticism in only a few years.|John_Keats
aubrey-beardsley|Aubrey Beardsley|1872-08-21|1898-03-16|UK|art|man|Created a radically distinctive black-and-white graphic style associated with the fin de siècle.|Aubrey_Beardsley
maria-bashkirtseff|Marie Bashkirtseff|1858-11-24|1884-10-31|Ukraine / France|art|woman|Left vivid paintings and a remarkable published diary documenting an ambitious young artist's life.|Marie_Bashkirtseff
tupac-shakur|Tupac Shakur|1971-06-16|1996-09-13|USA|music|man|Became one of hip-hop's most influential and widely discussed artists.|Tupac_Shakur
mac-miller|Mac Miller|1992-01-19|2018-09-07|USA|music|man|Evolved from teenage rapper to an adventurous songwriter and producer across five studio albums.|Mac_Miller
charlotte-salomon|Charlotte Salomon|1917-04-16|1943-10-10|Germany|art|woman|Created the vast autobiographical painting cycle Life? or Theatre? while in exile.|Charlotte_Salomon
nick-drake|Nick Drake|1948-06-19|1974-11-25|UK|music|man|Recorded three intimate albums whose influence grew dramatically after his death.|Nick_Drake
otis-redding|Otis Redding|1941-09-09|1967-12-10|USA|music|man|Became one of soul music's defining voices and transformed live R&B performance.|Otis_Redding
gram-parsons|Gram Parsons|1946-11-05|1973-09-19|USA|music|man|Helped shape country rock by bringing country songwriting into late-1960s rock.|Gram_Parsons
aaron-swartz|Aaron Swartz|1986-11-08|2013-01-11|USA|engineering|man|Contributed to RSS, Creative Commons and open-access activism from an unusually young age.|Aaron_Swartz
niels-henrik-abel|Niels Henrik Abel|1802-08-05|1829-04-06|Norway|mathematics|man|Made fundamental contributions to algebra and analysis before his 27th birthday.|Niels_Henrik_Abel
vincenzo-bellini|Vincenzo Bellini|1801-11-03|1835-09-23|Italy|music|man|Created operas whose long melodic lines became a defining voice of bel canto.|Vincenzo_Bellini
amy-winehouse|Amy Winehouse|1983-09-14|2011-07-23|UK|music|woman|Released Back to Black, one of the defining soul-pop albums of the 21st century.|Amy_Winehouse
jimi-hendrix|Jimi Hendrix|1942-11-27|1970-09-18|USA|music|man|Reimagined the electric guitar and changed the vocabulary of rock music.|Jimi_Hendrix
jean-michel-basquiat|Jean-Michel Basquiat|1960-12-22|1988-08-12|USA|art|man|Brought an unmistakable visual language from New York's streets into the international art world.|Jean-Michel_Basquiat
janis-joplin|Janis Joplin|1943-01-19|1970-10-04|USA|music|woman|Became one of the defining voices of late-1960s rock and blues.|Janis_Joplin
kurt-cobain|Kurt Cobain|1967-02-20|1994-04-05|USA|music|man|Led Nirvana and helped transform alternative rock into a global cultural force.|Kurt_Cobain
jim-morrison|Jim Morrison|1943-12-08|1971-07-03|USA|music|man|Fronted the Doors and became one of rock's most recognizable lyricists and performers.|Jim_Morrison
brian-jones|Brian Jones|1942-02-28|1969-07-03|UK|music|man|Founded the Rolling Stones and helped shape their early multi-instrumental sound.|Brian_Jones
rupert-brooke|Rupert Brooke|1887-08-03|1915-04-23|UK|literature|man|Became one of the best-known English poets associated with the First World War.|Rupert_Brooke
henry-moseley|Henry Moseley|1887-11-23|1915-08-10|UK|science|man|Established the physical basis of atomic number through pioneering X-ray spectroscopy.|Henry_Moseley
anton-yelchin|Anton Yelchin|1989-03-11|2016-06-19|USA|film|man|Built an unusually varied acting career across independent film and major studio productions.|Anton_Yelchin
brandon-lee|Brandon Lee|1965-02-01|1993-03-31|USA|film|man|Became a cult film figure through The Crow, completed after his accidental death on set.|Brandon_Lee
heath-ledger|Heath Ledger|1979-04-04|2008-01-22|Australia|film|man|Delivered a wide range of acclaimed performances, culminating in his Oscar-winning Joker.|Heath_Ledger
egon-schiele|Egon Schiele|1890-06-12|1918-10-31|Austria|art|man|Developed one of modern art's most instantly recognizable approaches to the human figure.|Egon_Schiele
amrita-sher-gil|Amrita Sher-Gil|1913-01-30|1941-12-05|India|art|woman|Combined European modernism with Indian subjects and became a foundational figure of modern Indian art.|Amrita_Sher-Gil
maria-malibran|Maria Malibran|1808-03-24|1836-09-23|Spain / France|music|woman|Became one of the 19th century's most celebrated opera singers before turning 29.|Maria_Malibran
stephen-crane|Stephen Crane|1871-11-01|1900-06-05|USA|literature|man|Wrote The Red Badge of Courage and helped pioneer literary naturalism in the United States.|Stephen_Crane
avicii|Avicii|1989-09-08|2018-04-20|Sweden|music|man|Helped bring electronic dance music into global pop with a distinctive melodic style.|Avicii
piero-manzoni|Piero Manzoni|1933-07-13|1963-02-06|Italy|art|man|Pushed postwar conceptual art toward radical questions about authorship and artistic value.|Piero_Manzoni
